categories,subGranted,description,referredProduct,internal,daysGranted,dontAssociate,permissions,shards,recruitUpgraded,billingstatementidentifier,activationKeyPrefix,taxClassification,alvl,prerequisites,dependent,name,xboxOfferID,prices,subCategory,itemID,xboxContentID,expireDays,reqsubs,keyValueChanges,recruitBilled
pc-co-web,,Champions Online Demo - Cryptic Studios,,fightclub,0,,AllBasicLevels: 1;AllBasicZones: 1;AllSocial: 1;AllTrade: 1;token:FreeWeekendPlay,Live,,,,0,0,,,PRD-CO-DEMO-Cryptic,0,,,,0,0,,CO-demo_Cryptic=1,
pc-co-web,,Champions Online Demo - Cryptic Studios Internal Test,,fightclub,0,,AllBasicLevels: 1;AllBasicZones: 1;AllSocial: 1;AllTrade: 1;token:FreeWeekendPlay,Live,,,,0,0,,,PRD-CO-DEMO-CrypticTest,0,,,,0,0,,CO-demo_CrypticTest = 1,
pc-co-web,,Champions Online Demo - Direct2Drive,,fightclub,0,,AllBasicLevels: 1;AllBasicZones: 1;AllSocial: 1;AllTrade: 1;token:FreeWeekendPlay,Live,,,,0,0,,,PRD-CO-DEMO-D2D,0,,,,0,0,,CO-demo_D2D=1,
pc-co-web,,Champions Online Demo - Digital River,,fightclub,0,,AllBasicLevels: 1;AllBasicZones: 1;AllSocial: 1;AllTrade: 1;token:FreeWeekendPlay,Live,,,,0,0,,,PRD-CO-DEMO-DigitalRiver,0,,,,0,0,,CO-demo_DigitalRiver=1,
pc-co-web,,Champions Online Demo - Steam,,fightclub,0,,AllBasicLevels: 1;AllBasicZones: 1;AllSocial: 1;AllTrade: 1;token:FreeWeekendPlay,Live,,,,0,0,,,PRD-CO-DEMO-Steam,0,,,,0,0,,CO-demo_Steam=1,
pc-co-web,,March Free to Play Weekend - Revelation,,fightclub,0,0,AllBasicLevels: 1;AllBasicZones: 1;AllSocial: 1;AllTrade: 1;token:FreeWeekendPlay,Live,,,,0,0,,0,PRD-CO-PR-2010MarFreeWeekend,0,,,,0,13,,FreeWeekendPlay = 1,
